id,business_name,address,street,place,area,postal_address,city,country,call,category
49,TASI Agency (Pty) Ltd,,,,,,9224 3rd close Harare,Zimbabwe,733373694,
50,Walmoht Equipment,,,18324 Limban,Zengeza 5,,Chitungwiza,Zimbabwe,263786389509,
52,Graceland Trophies,,19 Melrose Drive,Marlbough,,,Harare,Zimbabwe,772455769,
53,Eastern Solar Engineering Services,,42 Hebert Chitepo St,,,,Mutare,Zimbabwe,772100607,
54,SmartHR Solutions Zimbabwe,,12 Harare Drive,,,,Borrowdale,Zimbabwe,777139421,
55,Victoria Borehole and Exploration,,,"#37, Opposite to Cresta Lodge, Greendale Msasa",Samora Machel,,Harare,Zimbabwe.,+263 788264999,
56,A I Davies & Co Ltd,,,,,Po Box 66021 Kopje,Harare,Zimbabwe,620 201,
57,Courteney Hotel P/L,,Selous Ave/8Th St,,,,Harare,Zimbabwe,704 400,
58,Heyneck Investments P/l,,15 Albury Road Sunridge,,Bluffhill,,Harare,Zimbabwe,+263 (4) 305938,
59,HYDROWELL WATER ENGINEERING PVT LTD,,1 KINGSMEAD ROAD. BORROWDALE,,,,Harare,Zimbabwe,718898964,
60,Splash Paint & Plastic,,12 Hanover road workington,,,,Harare,Zimbabwe,0242 661658 / 661378,
61,Alcoholics Anonymous,,"Anglican Church, King George Rd",,Avondale,,Harare,Zimbabwe,263772417274,
62,A Team Contractors,,199 Erith Rd,Willowvale,,,Harare,Zimbabwe,263773363514,
63,Chinhara Orthodontics,,52 East Rd,,Avondale,,Harare,Zimbabwe,04333 441/2,
64,Classic Plastics Zimbabwe,,,,,,Arres House 1st Floor Cnr George Silundika&Innez Terrace(Opposite Zimpost Main Entrance) Harare,Zimbabwe,263783326055,
65,C.P. Plastics (Pvt) Ltd,,118 Lytton Road Workington,,,,Harare,Zimbabwe,+263 7 86205787,
66,Feredays Borrowdale,,,130 A2,,,Harare,Zimbabwe,712400222,
67,Hwange Colliery Company Limited,,7th Floor Coal House 17Nelson Mandela Avenue,,,,Harare,Zimbabwe,+263 4 781985,
68,Nyaradzo Funeral Services,,,,,Nyaradzo Group Head Office Sabi House 18 Park Street P. O. Box 3250,Harare,Zimbabwe,263-4-796694,
69,POSB,,Baker Ave,,,,Harare,Zimbabwe,(263) 475 15 11,
70,B2C Coworking,,Cnr Jason Moyo Ave and First Street,,,,Harare,Zimbabwe,+263 4 771 578,
71,Bindura Nickel Corporation,,Arundel Office ParkNorfolk Road Mount Pleasant,,,P.O.Box 35,Harare,Zimbabwe,+263 4 338294,
73,C A B S Avondale,,,Shop 1 Seven Arts Arcade,,,Harare,Zimbabwe,339 276,
74,Central Leaf Tobacco,,105 Dartford Road,,Willovale Industrial Area,,Harare,Zimbabwe,263772226162,
75,Cimas Medical Laboratory,,60 Baines Avenue,Medical Chambers,,,Harare,Zimbabwe,+263 24 2703931,
76,CodePreneurs,,194 Baines Ave,,,,Harare,Zimbabwe,263778456168,
77,Honda Centre P/L,,Stevenson Rd,,,,Harare,Zimbabwe,748 361,
78,Jetmaster Zimbabwe (Private) Limited,,Samora Machel Avenue West,,,,Harare,Zimbabwe,(024) 275 0535,
79,Kenac Computer Systems,,109 ED Mnangagwa Rd,,,,Harare,Zimbabwe,+263 8677 000 818,
80,Musasa Project,,64 Selous Ave/Cnr 7th street,,,,Harare,Zimbabwe,725 881,
81,NATIONAL SOCIAL SECURITY AUTHORITY (NSSA),,,1st-3rd Floor Compensation House,,,Harare,Zimbabwe,(024) 2799031,
82,Pomona Stone Quarries(Pvt) Ltd,,Situated on Alpes Road,,Pomona,,Harare,Zimbabwe,+263 785 219 947,
83,Rhino Industrial,,No 1 Ross Avenue,Belgravia,,,Harare,Zimbabwe,+263 242 793 220,
84,Super Paints,,13 Nelson Mandela Ave,,,,Harare,Zimbabwe,+263 4 775 949,
85,Tech Hub Harare,,Julius Nyerere Way,"Shop No 1, SSC Building, NSSA Cnr Sam Mujoma and",,,Harare,Zimbabwe,263718924393,
86,Triple C Pigs,,,Head Office: Colcom Complex,,1/3 Coventry Road P.O. Box 2474 Workington,Harare,Zimbabwe,08677 444 222,
87,Udugu Institute,,,42 Harvey Brown,,,Harare,Zimbabwe,+263 4 250 602,
88,Waterlink (Pvt) Ltd,,Lobengula St,,,,Bulawayo,Zimbabwe,+263 29 2264454,
89,ZESA Holdings- Zimbabwe Electricity Supply Authority,,,,,,ZESA Holdings (Pvt) Ltd Electricity Centre 25 Samora Machel Avenue Harare,Zimbabwe,+263 4 774501/2/6/8/24/25/27/31,
90,Freight World Pvt Lt,,100 Kelvin Road South 13000,,,,Harare,Zimbabwe,+263 4 758 766,
91,Friend Animal Foundation,,7 Kirkman Road,Tynwald,,,Harare,Zimbabwe,2930442,
92,Kefalos Cheese Products,,Mubayira Road,Bharabhara Farm,,,Harare south,Zimbabwe,263-42923042,
94,K & S Machine Tools P/L,,16 Birmingham Rd,,,,Harare,Zimbabwe,+263 772 314 759,
95,Touchstone Pvt Ltd,,1 Raleigh St,2nd Floor,,,Harare,Zimbabwe,+263 242 777832-4,
96,Blacktron Logistics,,,545 Adylinn,Westgate,,Harare,Zimbabwe,263772920966,
97,Compu-Plus,,114 Jason Moyo Street,,,,Bulawayo,Zimbabwe,+263 9 887 067,
98,Cross Country Containers,,309 Esap Way Willowvale P O,,,,Harare,Zimbabwe,+263 (242) 611670,
99,C T Bolts (Pvt) Ltd,,36-38 Birmingham Rd,,Southerton,,Harare,Zimbabwe,+263 4 755258,
100,Dairibord Zimbabwe,,1225 Rekayi Tangwena Rd,,,,Harare,Zimbabwe,+263 24 2779057,
101,EDN Engineering,,,,,,52 Harare Street,Zimbabwe,752 890,
102,Fanoos Electronics,,8 George Silundika Avenue,,,,Harare,Zimbabwe,+263 24 2753560,
103,Kopje Spare Parts P/L,,4 Kaguvi Street,,,,Harare,Zimbabwe,+263 24 2750579,
104,Kreamorn Investments,,320 Samora Machel Avenue,,,,Harare,Zimbabwe,+ 263 4 443894/6,
105,Moonlight Funeral Assurance & Services,,4th Fl Lapf Centre Cnr Chinhoyi St/Jason Moyo Ave,,,,Harare,Zimbabwe,740 772,
106,Okpatech Industrial Suppliers,,8 Stoke Rd,,,,Bulawayo,Zimbabwe,+263 77 232 9781,
107,Pomona Stone,,Situated on Alpes Road,,Pomona,,Harare,Zimbabwe,+263 785 219 948,
108,Rogel Security,,"No. 16 St Andrews Road, Off Airport Road",,Hatfield,,Harare,Zimbabwe,Tel: 04-573161/2,
109,Twenty Third Century Systems (pvt) Ltd,,7th Floor Redbridge Eastgate 3rd Street,,,,Harare,Zimbabwe,253 649/53/54,
110,C A B S Head Office,,Northend Close Northridge Park Highlands,,,P O Box 2798,Harare,Zimbabwe,+263 24 2883823,
111,Cousins Work Wear (Pvt) Ltd,,,,Mbare,,Harare,Zimbabwe,718511304,
112,Gateway Stream,,Pennefather Ave,,Harare,,Zimbabwe,Harare,+263 242 758496,
113,Manica Cycle Co Pvt,,Sam Nujoma St,,,,Harare,Zimbabwe,722 216,
115,Medirite Healthcare,,Shepperton Rd,"UNIT 3, 32, Graniteside",,,Harare,Zimbabwe,+263 773 256 873,
116,OmniContact,,,3 Kelvin Cl,,,Harare,Zimbabwe,+263 772 792 650,
117,Roadsite Trading (Pvt) Ltd,,,13 BISHOP GAUL AVN,,,Harare,Zimbabwe,00263 4 755 784,
118,Egypt Air,,"1st Floor Travel Plaza, 29 Mazowe Street Cnr Josiah Chinamano",,Avenues,,Harare,Zimbabwe,2634797174,
119,James North Zimbabwe,,6 George Avenue Msasa,,,,Harare,Zimbabwe,263-4-486800,
120,Shelvit P/L,,13 Greenock Rd Workington Harare Zimbabwe,,,,,,2638683000899,
121,Smith's Super Track (Pvt) Ltd,,20 George Avenue Msasa,,,,Harare,Zimbabwe,04-486528 / 487269,
122,Travelplanners,,,,,,17 phillips road belgravia harare,Zimbabwe,708837/708849,
123,Aluminium Industries,,,,Southerton,"Cnr Willowvale/Dagenham Road, Willowvale, P.O.Box ST 394",Harare,Zimbabwe,+263 4 620 110  +263 4 620 116,
124,Champions Insurance Company (pvt) Ltd,,,6th Floor Stanley House,,P.O.Box 7735,Harare,Zimbabwe,702 284,
125,Cornerstone Africa Group,,"Level 1, Palm Grove House, Wickhamâs Cay 1, Road Town, Tortola, British Virgin Islands. Regional Office: 164 Palm Springfield",Bokoto,,,Harare,Zimbabwe,+1 284 494 4977,
126,Powervision (Pvt) Ltd,,26 Amby Drive,Masasa,,,Harare,Zimbabwe,+263 4 486826/7,
127,Quatrohaus Zimbabwe,,"1 Verona Gardens, 70 Livingstone Ave, Btwn 6th & 7th Street",Upper Avenues,,,Harare,Zimbabwe,+263 86 77 00 30 30,
128,Realty World,,36 Lawson Avenue,Milton Park,,,Harare,Zimbabwe,+263 242 251441,
129,Zimbabwe Insurance Brokers (Pvt) Ltd,,26 Fereday Drive;Eastlea,,,P.O.Box 3413,Harare,Zimbabwe,+263 4 779760,
130,Childline Zimbabwe,,60 Livingstone Ave,,,,Harare,Zimbabwe,252 000,
131,Dawn Properties Ltd,,Samora Machel Ave Tendeseka Office Prk,,,,Harare,Zimbabwe,733 624,
132,EVANS Shepherd (Pvt) Ltd t/a Schoolbooks 4 Africa,,120 Churchill Avenue,,Gunhill,,Harare,Zimbabwe,+263 4 744712,
133,Find and Go,,67 Samora Machel Ave,BancABC Ignition Hub,,,Harare,Zimbabwe,+263 782 202 257,
134,Kamatech Projects P/L,,,7 Watermeyer,Belvedere,,Harare,Zimbabwe,740518,
136,Langdyke Services P/L  T/A Veldemeers,,,,,,1 Harrow Road Msasa Harare,Zimbabwe,486 169,
137,Oceanwaves Borehole Drilling,,11 Amargh Ave,Eastley,,,Harare,Zimbabwe,773617187,
138,Raffles Movers International Pte Ltd,,,No.5 Jalan TIB 1/21 Taman Industri Bolton,68100 Batu Caves,,Selangor,Zimbabwe,60361881196,
139,The African Capacity Building Foundation (ACBF),,,7th & 15th Floor,,,Harare,Zimbabwe,+263 4 304 663,
140,Unilever Zimbabwe,,2 Stirling Rd,,,,Harare,Zimbabwe,+263 4 753 700,
141,Bigwave Automation System,,,,,,36 Winson Rd South Hatfield Harare,Zimbabwe,589 657,
142,Blue Ribbon Foods,,,"4 George Dr, Msasa",,P.O. Box 4350,Harare,Zimbabwe,+263 78 444 7069,
143,D.S.K Electrical Wholesalers,,"41 Plumtree Rd, City",,,P.O.Box 343,Bulawayo,Zimbabwe,+263 9 478454,
144,Ernst & Young Chartered Accountants (Bulawayo),,Derry HouseCnr Fife Street/6th Avenue City,,,P.O.Box 437,Bulawayo,Zimbabwe,+263 9 76111,
145,Mega Video P/L,,,,Highlands,,Harare,Zimbabwe,498341,
146,Catholic University Of Zimbabwe CUZ,,"18443, Cranborne Avenue",,Hatfield,,Harare,Zimbabwe,04-570570,
147,Chemayde Pharmacy P/L,,Shop 2 Chenai Buld Clyde Rd,,,,Harare,Zimbabwe,8683000595,
148,Council For The Blind,,,Sekuru Kaguvi Eye Unit Parirenyatwa Hospital,,,Harare,Zimbabwe,+263 292 269081,
149,CUT RAG PROCESSORS (PVT) LTD,,1543 Bryce Road New Ardbennie,,,,Harare,Zimbabwe,8677008744,
150,D D F,,Mukwati Building Cnr Livingstone Avenue/4th Street,,,,Harare,Zimbabwe,702 199,
151,Denmark Training Services,,Cnr 6th Ave and Five Street,1st floor Noval House,,,Bulawayo,Zimbabwe,+263 97 8257,
152,Fedex Zimbabwe (Pvt) Ltd,,101 Nelson Mandela Street,,,,Harare,Zimbabwe,263 242 252 320,
153,Greatstride Comm College,,8684 Highglen Road Highfield P O,,,,Harare,Zimbabwe,612 529,
154,Lyons Zimbabwe P/L,,116 Simon Mazorodze Road,,,,Harare,Zimbabwe,+263 4 661 9219,
155,Ministry Of Transport,,Cnr Simon V. Muzenda & Central Avenue,"Min. of Transport & Infrastructure Development 13th Floor, Kaguvi Building",,,Harare,Zimbabwe,0242-700991,
157,Missing Link,,,15224 Silver Cr,,,Bulawayo,Zimbabwe,773375522,
158,Prestige Leathers,,6200 Josiah Chinamano Road Belmont,,,,Bulawayo,Zimbabwe,+263 9 460 913,
159,Schneider Electric Zim,,9 Apollo Close Colne Valley,,,,Harare,Zimbabwe,263775906963,
160,Zichire Project,,28 Van Praagh Ave Milton,,,,Harare,Zimbabwe,725 166,
161,Cesvi (Ngo),,57 Livingstone Avenue,,,,Harare,Zimbabwe,2916059,
162,Golden Reef Mining,,16 Kenilworth Road,,,,Harare,Zimbabwe,+263 8677 000693,
163,Grindtech P/L,,,,Highlands,"64 Livingstone Avenue, P.O. Box HG306",Harare,Zimbabwe,+263 4 790925,
164,Liberty Tailors,,95 Belvedere Road,,Kopje,,Harare,Zimbabwe,+263 024 759 257,
165,Manica Boards and Doors,,,,,,Mutare,Zimbabwe,+263 0206 3906,
166,Matowe Enterprises P/L,,2 nailis house cnr r manyika and j nyerere way,,,,Harare,Zimbabwe,+263 04 761365/6,
167,Motherland fumigation Services,,fife street between 10th and 11th avenue,Tshaka centre,,,Bulawayo,Zimbabwe,960082,
168,Premier Service Medical Aid Society,,,Head Office: P.S.M.A.S House,,,Harare,Zimbabwe,+263 242 705186,
169,Riozim Limited,,,Kenilworth Gardens,,,Harare,Zimbabwe,+263 8677007168,
170,Rooneys Hire Service,,142 Seke Rd Graniteside,,,,Harare,Zimbabwe,748 137,
171,TURNALL,,5 Glasgow Road Southerton,,,,Harare,Zimbabwe,+263 242745625,
172,Twinmak Business Consultants (Private) Limited,,89 K. Nkrumah Ave,"401A, 4th Floor Pax House",,,Harare,Zimbabwe,263778003525,
173,Visual Plastics (Pvt) Ltd,,700 Craig Allen Road New Ardbennie,,,,Harare,Zimbabwe,2634669816,
174,Zimbabwe Women's Microfinance Bank,,,56 A5,,,Harare,Zimbabwe,+263 8688007006,
175,Amtec Pvt Ltd,,Amtec Motors 139 R Mugabe Rd,,,,Harare,Zimbabwe,704 766,
176,Calman Engineering,,754 Cooleen Rd New Adbernie,,,,Harare,Zimbabwe,2634301697,
178,Caltex Oil Zimbabwe,,168B SIMON MAZORODZE RD,,,,Harare,Zimbabwe,+263 77 293 3069,
179,Care International In Zim,,33 Harvey Brown Ave,,,,Harare,Zimbabwe,745 542,
180,CIMMYT Zimbabwe,,"12.5 KM Peg, Mazowe Road",Mount Pleasant,,,Harare,Zimbabwe,369 126,
181,Dnt Technologies,,,Office 19 3D Centre Browning Dr,,,Harare,Zimbabwe,+263 772 309 073,
182,Emra Products,,181 Erith Road Willowvale P O,,,,Harare,Zimbabwe,669 748,
183,Family Support Trust,,,,,,Harare Central Hospital 1st Floor Childrenâs Rehabilitation Unit,Zimbabwe,+263 77 422 7430,
184,Fleark Trading P/L,,Corner Joshua Nkomo Street and Fourteenth Ave,A7,,,Bulawayo,Zimbabwe,09 474144,
185,Hard cord marketing,,12 Dumfries road workington,,,,Harare,Zimbabwe,+263-8644288457,
186,Innscor T/A Pizza Inn,,105 Robert Mugate Rd,,,,Harare,Zimbabwe,252 967,
187,Laiza`s Food Service,,,Chapman Golf Club,,,Harare,Zimbabwe,263 4 2918263,
188,Makave Engineering (Private) Limited,,,,,P. O. Box 491,Mutare,Zimbabwe,2030809,
189,Mars (Medical Air Rescue Service),,,,,,2 Fairbridge Avenue Belgravia Harare,Zimbabwe,+263 787135951,
190,Minter Pump Services P/L,,,47 Addington Lane,,,Ballantyne Park Harare.,Zimbabwe,04-886969/70,
191,Natpak Pvt Ltd,,1 Plymouth Rd,,,,Harare,Zimbabwe,+263 24 2755795,
192,Population Services Zimbabwe,,11 Banff Road Eastlea,,,P.O.Box 2399,Harare,Zimbabwe,+263 4 746852,
193,Psi Zimbabwe,,,Emerald Office Park,30 The Chase,,Harare,Zimbabwe,+263 4 495 566,
194,Queen Mary House,,Masotsha Ndlovu Ave,,,,Bulawayo,Zimbabwe,09 200205,
195,Tribology Services (Pvt) Ltd,,,,,,23 Amby Drive Amby,Zimbabwe,+263 4 446369,
196,Warpack,,23 Anthony Avenue Msasa,,,,Harare,Zimbabwe,+263 4 446 431 / 2,
197,Waverly blankets pvt ltd,,Crn Seke Road/Boshoff Drive Graniteside,,,,Harare,Zimbabwe,263-4-750210,
199,Dorothy Duncan Centre,,,For The Blind D Duncan Library,,,Harare,Zimbabwe,251 116,
200,Gate Motors P/L,,358 Esap Way Willowvale,,,,Harare,Zimbabwe,616 062,
201,Huawei Technologies,,,Shop Number 4,40 Kwame Krumah,,Harare,Zimbabwe,+263 (4) 777 980,
202,Lakas Products P/L,,,Mt Hampden Coal Sdg Mt Hampden,,,Harare,Zimbabwe,+263 71 307 005,
203,Lakas Products,,Coventry Dumfries Rd Workington,,,,Harare,Zimbabwe,754 018,
204,Pride Of Africa Exports,,21 Woodlands Rd Mukuvise Office Park,,,,Harare,Zimbabwe,+263 0 8644 212 418,
205,Zim Waves,,,,,,Masvingo,Zimbabwe,263773897988,
206,Zuva Petroleum,,,,,,Harare,Zimbabwe,+263-787-128-440,
207,Calental enterprises pvt(LTD),,2 Seven Street,,,,Gweru,Zimbabwe,263-91-222 926,
208,Chisada Dr Anthony,,38 Baines Avenue,,,,Harare,Zimbabwe,2634794262,
209,Drip Tech Irrigation,,49 Coventry Road,Workington,,,Harare,Zimbabwe,0772 143 996,
210,Goya Enterprises P/L,,11 Wernick Ave Greystone Park,,,,Harare,Zimbabwe,860 899,
211,Kitchen Decor (Pvt) Ltd,,,,,,Harrow Rd Ext Msasa. Harare,Zimbabwe,486226/7/9,
212,Lagrandy Electric Ind,,Mashwede Towers. Stand No 18226 Culverwell Road Acrcadia Harare Zimbabwe,,,,,,2634773169,
213,PIUS TRADING AND PROJECTS,,,Mimosa House,,,Bulawayo,Zimbabwe,27742680035,
214,Tazala Traders,,,P,,O. Box 2028 Blantyre Malawi,Mutare,Zimbabwe,265-999953866,
215,Auto Brakes (Pvt ) Ltd,,45 Coventry road,Workington,,,Harare,Zimbabwe,732 169,
216,Bak Storage (Pvt) Ltd,,107 Dartford Road Willowvale,,,,Harare,Zimbabwe,620 073,
217,Chicken Inn Msasa P/L,,43 Mutare Rd P O Amby,,,,Harare,Zimbabwe,486 685,
218,Denjey Enterprises P/L,,258 McCarathy Rd,Willowvale,,,Harare,Zimbabwe,+8644122312 / 3,
220,DHL Express Masvingo,,37 Hughes Street,,,,Masvingo,Zimbabwe,039-263698,
221,Eurotex,,125 Robert Mugabe Road corner 4th street,,,,Harare,Zimbabwe,250 674,
222,Haingate Agro Equipment,,2Nd Flr Travel Plaza 29 Mazowe St,,,,Harare,Zimbabwe,794157/67,
223,Kubota Engineering,,31 Melbourne Road Southerton,,,,Harare,Zimbabwe,2634660380,
224,Maersk Zimbabwe P/L,,6Th Fl Redbridge N/W Eastgate 2nd St,,,,Harare,Zimbabwe,701 017,
225,Mashbolts (Pvt) Ltd,,,,474 Pomona Industrial Park,,Harare,Zimbabwe,+263 77 652 0799,
226,Mother Care Business Centre,,3D 20 Chishawasha Rd Glen Lorne,,,,Harare,Zimbabwe,0774 095209,
227,Quality Junior School,,,14959,Damofalls,,Harare,Zimbabwe,773069741,
228,Robmeck Builders & Contractors,,,1 Ruskin Lane Strathaven Harare Zimbabwe,,,,,263772384124,
229,SBIC,,1 Fife Avenue,,,,Harare,Zimbabwe,4252176,
230,Beta Bricks (Pvt) Ltd,,46 East Rd,,,,Harare,Zimbabwe,332 789,
231,Bolbec Investments P/L,,18 Nigel Philip Avenue,,Eastlea,,Harare,Zimbabwe,0242 778829,
232,C Gauche (Pvt) Ltd,,17 Wolverhampton Rd Donnington,,,,Bulawayo,Zimbabwe,09 72472,
233,Crammer Business Solutions (PVT) LTD,,48 N/Mandela Ave Suite 223,2nd Floor Roslin House,,,Harare,Zimbabwe,04 771 408,
234,Econet Wireless,,44 Silwood Close,,CHISIPITE,,Harare,Zimbabwe,0772 222 527 - 9,
235,FlexID,,,,,,Harare,Zimbabwe,(+263) 775 344 733,
236,Garden Park Trust,,St Lukes Road Woodlands,,,,Bulawayo,Zimbabwe,09 234687,
237,Humana People To People,,4 Palmer Rd Milton Park,,,,Harare,Zimbabwe,741 810,
238,Mbidzo Muchadehama & Makoni Legal Practitioners,,No 8 Philips Avenue,Belgravia,,,Harare,Zimbabwe,+263 4 752870,
239,Neolab Technology,,,,,,Bulawayo,Zimbabwe,263731222222,
241,NMB Bank Limited,,1st Floor Unity Court 64 Kwame Nkrumah Avenue,,,,Harare,Zimbabwe,759 601-6,
242,Quality Touch Kitchens (pvt) ltd,,150 Nelson Mandela Avenue,,,,Harare,Zimbabwe,263-4-757774 773946,
243,Ambidex,,6 Muti drive,Triangle,,,Chitungwiza,Zimbabwe,773626769,
244,Bayer Zimbabwe (Pvt) Ltd,,Off Martin Road Msasa,,,P.O.Box 78,Harare,Zimbabwe,+263 4 487211,
245,Clean Power New York,,,,,,Harare,Zimbabwe,No Phone,
246,Ernst And Young,,Angwa City Cnr Union / Angwa St,,,,Harare,Zimbabwe,752 672,
247,Haggie Rand Zimbabwe P/L,,Borgward Road Msasa,,,,Harare,Zimbabwe,+263 4 487 283,
248,Lab Assist Zimbabwe P/L,,48 Harare Drive,,,,Marlborough,Zimbabwe,334 333,
249,Pharm Pack Pvt Ltd,,,"Unit 1, Sullivans Industrial Park",Steeldale,,Bulawayo,Zimbabwe,263-9-78421,
250,SpryAds,,,,,,Harare,Zimbabwe,No Phone,
251,Sunspan Bananas,,7033A Plymouth Road Southerton,,,,Harare,Zimbabwe,+263 4 621 223,
252,Cairns Holdings,,,,,Box 5139,Harare,Zimbabwe,620 427,
253,Enopat Pvt ltd,,119 Harare street,,,,Harare City Centre,Zimbabwe,749 068,
254,Fairways Homes For,,No. 38 Bodle Ave,,,,Harare,Zimbabwe,+263 4 703 243,
255,Gloag Trading T/A Luxury Leathers Zimbabwe,,19 Clairwood Road,Alexandra Park,,,HARARE,Zimbabwe,263-4-744106,
256,Goldstick Insurance P/L,,,,,,12/195 Monavale Road Harare,Zimbabwe,740 209,
257,Mudimu Philip,,"ZB Life Towers, 77 Jason Moyo Avenue",,,,Harare,Zimbabwe,+263 4 499 848,
258,Agrimix Farming solutions Zimbabwe,,,,,,23 Vernon avenue Greendale Harare,Zimbabwe,2638644218708,
259,Associated Air Brake P/L,,18 Bessemer Road,,Graniteside,,Harare,Zimbabwe,+2634749102; +2634774752; +2634758628,
260,CBZ Bank Limited,,8th Avenue Branch,,,,Harare,Zimbabwe,+263 77 446 0460,
262,Combined Executors Servic,,"11 Princess Drive, Newlands",,Highlands,,Harare,Zimbabwe,788074/5/6,
263,Edgars Stores Ltd 3145,,,Fountain Crt Westgate S/Centre Bluff,,,Harare,Zimbabwe,332 600,
264,J J Benatar (Pvt)Ltd,,47 Craster Road,,Southerton,,Harare,Zimbabwe,+263 4 620461-5,
265,L L Promotions P/L,,108 Central Avenue,Wal Agencies Building,,,Harare,Zimbabwe,749 182,
266,Mutare Bottling Co (Pvt) Ltd,,,Runde Cres,,,Mutare,Zimbabwe,+263 20 63106,
267,Ruell Investment P/L,,Cnr R.Mugabe and 3rd Street Eastgate Complex Shop No. 19 Groundfloor,,,,Harare,Zimbabwe,+263 4 251226,
268,Selby Enterprises P/L,,12 5 Km Peg Golden Stairs Rd Mt,,,,Harare,Zimbabwe,307 461,
269,Accor Medical Supplies,,22 New Afeica House 40 Union Avenue,,,,Harare,Zimbabwe,752 544,
270,Anglo American,,70 Samora Machel Ave,Charter Hse,,,Harare,Zimbabwe,0470 4461,
271,Berina Textiles Pvt Ltd,,1 Chelmsford Rd,,,,Harare,Zimbabwe,339938,
272,Coronation Cottages,,Queens Rd Selous Ave,,,,Bulawayo,Zimbabwe,09 205856,
273,Dawson Enterprises P/L,,,"Unit 1, Bluff Hill Industrial Park",Bluff Hill,,Harare,Zimbabwe,+263 4 331061; 331080 ; 331097,
274,Denya Ronald Titus,,Kwame Nkrumah/1St St 8Th Flr Chiedza Hse,,,,Harare,Zimbabwe,728 824,
275,"Dial-A-Delivery Harare, Zimbabwe",,36 Silwood Close,,,,Harare,Zimbabwe,495 585,
276,Duive enterprises,,,21 netherby paddonhurst,,,Bulawayo,Zimbabwe,575 860,
277,Edwards Real Estate,,37 Victoria Drive,Newlands,,,Harare,Zimbabwe,2634782809,
278,Farleu,,,693 Off Beaston,The Grange,,Harare,Zimbabwe,773435956,
279,Faynas Fasteners P/L,,79 Coventry Rd Workington P O,,,,Harare,Zimbabwe,662 380,
280,Flair Furniture,,14 Neil Ave,,,,Harare,Zimbabwe,486 462,
281,Guide Advisory Group,,57 Jason Moyo Avenue,,,,Harare,Zimbabwe,+263 772 678 572,
283,Heinz Taube Electronics P,,171 King George Rd Avondale,,,,Harare,Zimbabwe,335 574,
284,Interfresh Ltd T/A,,,Area 5 Site 32/99 Int Airport,,,Harare,Zimbabwe,575 210,
