id,business_name,street,area,postal_address ,city,country,call,category,address,place,postal_address
194,A A R C Construction,,,,Gaborone,Botswana,+267 397 3830,,,,
195,Acho Cam Enterprises (pty) Ltd,,,,P.O.Box 404027,Botswana,+267 392 4074,,,Tshipidi Hse Suite 7 Gaborone West Mall,
196,Als Holdings,,,,P.O.Box 50107,Botswana,+267 392 2582,,Plot 14428,Gaborone West Ind,
197,Aluminium City,,,,Gaborone,Botswana,+267 393 8452,,"Plot 20664, Savute Rd, Broadhurst Ind Est",,P.O.Box 402772
198,Anba Chemicals,,,,Francistown,Botswana,+267 241 3689,,,ANBA Hse Gemsbok Light Industrial Area,
199,Arab Contractors,,Phologolo Ext 9,,Gaborone,Botswana,+267 390 8237,,"Plot 2739 Ext 9, Phala Cres",,
200,Arab Contractors (pty) Ltd,Orapa Rd,,,Serowe,Botswana,+267 460 0598,,,,P.O.Box 215
201,Arab Construction,Palla Rd,Dibete,,P.O.Box 163,Botswana,+267 477 0018,,,,
202,A To Z Mica Building,Along Sefalana Road,,,Maun,Botswana,+267 686 0158,,,,P.O.Box 0293
203,B J Builders (pty) Ltd,,,,Gaborone,Botswana,+267 390 1718,,"Plot 20688 Sekotlo Rd, Broadhurst Ind",,P.O.Box 686
204,Bonus Builders Supplies,,,,Gaborone,Botswana,+267 391 0165,,,Motor Centre Complex Fairground Mall,
205,B & S Construction (pty) Ltd,,,,Francistown,Botswana,+267 241 4063,,,BGI Complex Light Ind,
206,Builders Merchants Botswana (pty) Ltd,,,,Letlhakane,Botswana,+267 297 8444,,,Letsibogo Ward,P.O.Box 76
207,Build Elect,,,,Gaborone,Botswana,+267 391 9149,,Plot 40643/K88 Block 5,,
208,Bush Mills (pty) Ltd T/a Rachi Enterprises,,,,Gaborone,Botswana,+267 393 8583,,Plot 20700 Block 3 Ngunaeko Rd Broadhurst Industrial,,P.O.Box 714
209,Caitec Botswana,,,,Gaborone,Botswana,+267 391 8146,,,,P.O.Box 402674
210,Carlos Builders (pty) Ltd,,,,Francistown,Botswana,+267 241 2127,,Plot 9790 near BMC,,P.O.Box 1058
211,China Civil Engineering Construction Botswana (pty) Ltd,,Tlokweng,,Gaborone,Botswana,+267 392 5332,,,,
212,Chocholoza Building Construction (pty) Ltd,,,,Gaborone,Botswana,+267 390 6770,,Plot 20739 Pharathe Cres Block 3,,P.O.Box 40864
213,Chrisjos (pty) Ltd,,,,Gaborone,Botswana,+267 395 6227,,"Plot 8885, African Mall",,P.O.Box 46015
214,Codi Construction,,,,Gaborone,Botswana,+267 391 5003,,"Plot 20662 Blk3, Broadhurst Ind",,P.O.Box 50921
215,Contracts Supplies (pty) Ltd,Kamushongo Rd,,,Gaborone West I/Est,Botswana,+267 392 2922,,Plot 14458 Unit2A,,
216,Contract Building Supplies,,,,Gaborone,Botswana,+267 390 2665,,"Plot 10243, Legolo Rd, Broadhurst Ind Est",,P.O.Box 2276
217,Creative House (pty) Ltd,,,,Gaborone,Botswana,+267 393 8388,,Plot 33,,
218,Dithunya (pty) Ltd,,,,Francistown,Botswana,+267 241 7655,,Plot 1076 Dumela Industrial,,P.O.Box 1431
219,Duracraft Botswana,,,,Gaborone,Botswana,+267 392 2203,,Plot 14399/C New Lobatse Rd,,P.O.Box 20193
220,Electrical Glory,,,,Gaborone,Botswana,+267 318 4361,,,,
221,Elmsworth Projects (pty) Ltd,,,,Francistown,Botswana,+267 244 0625,,,Old Woolworths 1st Flr Barclays Plaza,
222,Explorer (pty) Ltd,,,,Gaborone,Botswana,+267 397 3446,,,,
223,Farob Engineering & Construction (pty) Ltd,,,,Gaborone,Botswana,+267 397 4473,,,,
224,Fence Africa,,,,Francistown,Botswana,+267 244 0375,,"Plot 12652 near Haskins Housing, Tati Town",,P.O.Box 1269
225,Five Star Decoration Enterprises,,,,Gaborone,Botswana,+267 391 8726,,"Plot 8072, Mogoditshane",,P.O.Box 1715
226,F M A Architects (pty) Ltd,,,,Gaborone,Botswana,+267 395 9812,,Victoria House Plot 132 Independence Avenue,,P.O.Box 201504
227,Gailey's Construction,,,,Jwaneng,Botswana,+267 588 0421,,Plot 226 Industriat,,P.O.Box 388
228,G B Watson Botswana (pty) Ltd,,,,Serowe,Botswana,+267 463 0217,,,main Mall,P.O.Box 5
229,G C M M Holdings,,,,Francistown,Botswana,+267 244 0153,,Plot 237 Light Ind Quarry Premises,,P.O.Box 1411
230,General Packaging Industries (pty) Ltd,,,,Gaborone,Botswana,+267 391 2908,,"Plot 37702, Lejara Rd, Broadhurst",,P.O.Box 1523
231,Goldhill Industries (pty) Ltd T/a Pioneer Products,,,,Gaborone,Botswana,+267 397 1974,,"Plot 20725 Blk3, Broadhurst",,P.O.Box 201140
232,Grunwald Construction,,,,Gaborone,Botswana,+267 392 8447,,,,
233,Himalaya Hardware,,,,Francistown,Botswana,+267 241 2698,,,,P.O.Box 273
